store_number,store_name,zip_code,address,store_location,etl_date
10133,LATIMER GROCERY / LATIMER,50452,110 NORTH AKIR STREET,POINT(-93.36825 42.76387),2025-02-25T12:40:58.468704
10134,"FAREWAY STORES, INC. #232",502660,9080 MILLS CIVIC PARKWAY,POINT(-93.83268 41.55883),2025-02-25T12:40:58.468704
10135,"BUDDAS ONE STOP, LLC",523370,1118 HWY. 30,POINT(-91.148744985 41.8881919800001),2025-02-25T12:40:58.468704
10136,STAR LIQUOR TOBACCO AND VAPE / WAUKEE,502630,23 NORTHEAST CAREFREE LANE,POINT(-93.867468002 41.615730003),2025-02-25T12:40:58.468704
10137,FAS MART #551 / GLENWOOD,515340,1200 LOCUST STREET,POINT(-95.749080039 41.037608013),2025-02-25T12:40:58.468704
10138,BRADY MART / DAVENPORT,52803,3107 NORTH BRADY STREET,POINT(-90.56972 41.55216),2025-02-25T12:40:58.468704
10139,FAS MART #553 / COUNCIL BLUFFS,51503,611 EAST BROADWAY,POINT(-95.83902 41.26673),2025-02-25T12:40:58.468704
10140,FAS MART #552 / COUNCIL BLUFFS,515030,503 9TH AVENUE,POINT(-95.852120032 41.253154018),2025-02-25T12:40:58.468704
10141,CROSSROADS / HAMPTON,504410,4 4TH ST SE,POINT(-93.202115378 42.7415505670001),2025-02-25T12:40:58.468704
10142,BREW #62 / DAVENPORT,528040,2805 TELEGRAPH ROAD,POINT(-90.621538027 41.518698997),2025-02-25T12:40:58.468704
10143,BREW #63 / DAVENPORT,528020,3129 ROCKINGHAM ROAD,POINT(-90.62181 41.50993),2025-02-25T12:40:58.468704
10144,BREW #67 / DAVENPORT,528030,1136 EAST LOCUST STREET,POINT(-90.55889 41.53828),2025-02-25T12:40:58.468704
10145,"NUEVO VALLARTA GROCERY & JEWELRY, LLC / SIOUX CITY /",512500,1803 SOUTH MAIN AVENUE,POINT(-96.175386237 43.058900709),2025-02-25T12:40:58.468704
10146,BROOKLYN GROCERY / BROOKLYN,522110,122 E. FRONT ST.,POINT(-92.445040006 41.728819018),2025-02-25T12:40:58.468704
10147,PONY EXPRESS / SLOAN,510550,1501 330TH STREET,POINT(-96.310844997 42.229080001),2025-02-25T12:40:58.468704
10148,PETRO AND MORE / LETTS,52754,13961 HWY 252,POINT(-91.19602 41.27667),2025-02-25T12:40:58.468704
10149,BREW OIL #13 / ORANGE CITY,51041,901 ALBANY PL SE,POINT(-96.05653 42.99609),2025-02-25T12:40:58.468704
